1,1,BRAC provides non-formal education facilitators and learning materials for marginalized children.,2022-01-15,2024-12-31
1,8,BRAC supports remedial classes and community learning centers near the school.,2023-03-01,2025-02-28
2,2,Save the Children runs after-school tutoring and life-skills sessions for adolescents.,2022-07-01,2024-06-30
2,3,Save the Children supports learning kits and attendance monitoring for at-risk students.,2023-01-10,2025-01-09
3,12,UNICEF supports school WASH facilities and child health screening campaigns.,2021-09-01,2023-08-31
3,13,UNICEF funds emergency education support and psychosocial activities for children.,2022-05-15,2024-05-14
4,5,World Vision provides fortified snacks and nutrition education sessions.,2022-02-01,2023-12-31
4,18,World Vision supports community-based nutrition volunteers linked to the school.,2023-04-01,2025-03-31
5,7,Plan International runs child protection clubs and safe reporting mechanisms in the school.,2021-11-01,2024-10-31
5,14,Plan International trains teachers on positive discipline and safeguarding practices.,2022-06-01,2024-05-31
6,4,ActionAid facilitates community awareness on child marriage and supports school retention.,2022-03-01,2023-12-31
6,17,ActionAid supports girls’ education circles and peer mentoring groups.,2023-02-15,2025-02-14
7,10,Directorate of Primary Education provides stipends and school improvement grants.,2021-01-01,2025-12-31
7,16,Directorate of Primary Education supports teacher deployment and training for early grades.,2022-01-01,2025-12-31
8,9,National Nutrition Services delivers school-based deworming and growth monitoring.,2021-06-01,2023-05-31
8,15,National Nutrition Services supports iron-folic acid supplements for adolescent girls.,2022-09-01,2024-08-31
9,1,Child Protection Unit links vulnerable children to social safety nets and case management.,2023-01-01,2025-12-31
9,11,Child Protection Unit offers counselling referrals and follow-up for children at risk.,2023-05-01,2025-04-30
